model_name,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
extra_trees,0.9984660029456383,0.0005888292411198777,0.9912657399751825,0.0011829338028834639
random_forest,0.9983114878168926,0.0006624441095751656,0.9908202962958294,0.0011271027898995503
hist_grad_boost,0.9982349160143313,0.0004802972398206782,0.9900456616996977,0.0010367962346020255
grad_boost,0.9932125095651687,0.00130044662018102,0.9726546759977934,0.002395992565794011
pytorch_mlp,0.9879709467991941,0.0018235314735790637,0.9574521377680938,0.0026811349605745803
decision_tree,0.987087744012084,0.0019587327746907464,0.9811564530016279,0.0018220221125071717
logreg,0.8820638621027893,0.002584723050413666,0.8505111145817533,0.0024446220228393776
